Symbol,Atomic weight,Atomic number,Period,Group,quantum number l,Metal(1)/metalloid(2)/nonmetal(3),Mendeleev number,Families,valences,valencep,valenced,valencef,unfilleds,unfilledp,unfilledd,unfilledf,no. of valence electrons,outershellelectrons,Gilman no.of valenceelectrons,Metallic valence,Zeff,1st Bohrradius (a0),Ionizationenergy (eV),Electron affinity (ev),AllredRockow EN,NagleEN,GhoshEN,Atomicradius calculated,Covalentradius,Ionicradius,Effective ionic radius,Miracleradius,van der Waalsradius,Zungerradii sum,Crystalradius,Covalent CSDradius,Slaterradius,Orbital radius,"polarizability, A^3","Melting point,K","Boiling point,K","Density, g/mL","Specific heat,J/g K","Heat of fusion, kJ/mol","Heat of vaporization, kJ/mol","Heat of atomization, kJ/mol","Thermal conductivity,W/m K",DFTLDAEtot,DFTLDAEkin,DFTLDAEcoul,DFTLDAEenuc,DFTLDAExc,DFTLSDEtot,DFTLSDEkin,DFTLSDEcoul,DFTLSDEenuc,DFTLSDExc,DFTRLDAEtot,DFTRLDAEkin,DFTRLDAEcoul,DFTRLDAEenuc,DFTRLDAExc,DFTScRLDAEtot,DFTScRLDAEkin,DFTScRLDAEcoul,DFTScRLDAEenuc,DFTScRLDAExc,Neutron Cross Section ,no. of Known Isotopes,no. of Stable Isotopes,fraction of stable isotopes ,fraction abundance of stable isotopes ,Abundance in solar system (log)
H,-1.5959681852025265,-1.6988282752201815,-2.49453383670351,-1.3180561626489158,-1.5922286130214824,1.8181642105551148,1.2676204126812558,1.2622895499046816,-1.8673991236957053,-0.5805847497871376,-0.9208519114026057,-0.6123928815982332,1.8673991236957053,0.5805847497871375,0.9208519114026058,0.6123928815982334,-1.2568505273517316,-0.9397948817839257,-1.3292646418704832,-1.727793991791832,-2.5300832554902035,-0.9851976602822432,1.5212698008375751,0.0009013810885913617,0.7192459844466386,0.8148044779921618,-0.3932704605302553,-1.9063289454222512,-2.8700612469920115,-2.511186291171411,-2.0820608089876504,-2.5445769679932164,-2.261860362342265,-1.2153786546496652,-2.1476252812164662,-2.530350953648277,-2.723806424149643,-1.7560563143129904,-1.1073595316771658,-1.3757786385160442,-1.5627519397250205,-1.2400309243660308,8.314821083315051,-0.9062331714725225,-1.25909446378093,-0.55873733357688,-0.7580143331809125,0.9895442257930812,-0.9893786814520957,-1.0037851963747204,0.9898840034021273,1.2463059980466156,0.9901522961996537,-0.9899859970226348,-1.0044968666640302,0.9905042079063497,1.2475969988573044,0.9704457762805825,-0.9258414289609258,-0.9947843651607982,0.9520918083437774,1.2700757111882979,0.9713354118315219,-0.935942564165404,-0.9961049036408884,0.9574317611549809,1.2715045238064449,-0.16261175326579505,-2.9214823225474116,-0.4498903492464176,2.5851788561985862,0.36176173030240016,9.121821914798426
He,-1.5491477406737864,-1.658526739246496,-2.49453383670351,1.6765840182122216,-1.5922286130214824,1.8181642105551148,1.4725289421479566,2.246643786068883,0.46684978092392615,-0.5805847497871376,-0.9208519114026057,-0.6123928815982332,-0.4668497809239263,0.5805847497871375,0.9208519114026058,0.6123928815982334,-1.119357226418788,-0.4643034237384871,-0.7963047618752422,-1.727793991791832,-2.1668505846635404,-1.1543603589465967,4.659441728587054,-1.1330252167478994,3.085009520855193,2.9345657103869063,0.5077172813301342,-2.2923424947389384,-3.0123921723095846,-1.2816006516040883,-0.9926184853822021,-0.8091604635683445,-1.7238881759144753,-0.7926972181246748,-0.9831623335427714,-2.5962118797665084,-2.585528375541608,-2.279044511032289,-1.1495062948466623,-1.3897741218779434,-1.5726781340823215,-1.2243665517354771,2.772263077430088,-0.9447157570424319,-1.2608106343471766,-1.6053813682695193,-0.7583715140186389,0.9891804177617055,-0.9890218145756593,-1.0031259319243133,0.9895187090196493,1.2399009542910147,0.9897934123496408,-0.9896353705721528,-1.003843417306238,0.9901416708797973,1.2415829326414067,0.9701054434287668,-0.9255542584652969,-0.9941477131534949,0.9517705127816732,1.263279142924286,0.9709943254624016,-0.9356460097939444,-0.9954656036069598,0.957105279797354,1.2646815622077094,-0.16267204487754633,-2.6732804260791156,-0.4498903492464176,1.683633677621873,0.36176173030240016,0.781451861720623
Li,-1.5032069631962743,-1.6182252032728104,-1.8038648591145903,-1.3180561626489158,-1.5922286130214824,-0.5778661444399978,-1.840158950897037,-1.6907731585879224,-1.8673991236957053,-0.5805847497871376,-0.9208519114026057,-0.6123928815982332,1.8673991236957053,0.5805847497871375,0.9208519114026058,0.6123928815982334,-1.2568505273517316,-0.9397948817839257,-1.3292646418704832,-1.1899937526593225,-2.2566028434433845,0.4583240349869067,-0.8223497786930144,-0.11872507719843818,-1.0461732567012503,-0.893851545695723,-0.5917789468506457,0.09392308285512894,-0.10884129583108523,-0.4444359608348471,-0.5189479099015725,0.03302695769666711,-0.5941465844161162,-0.8695483884019456,-0.16556068943145374,-0.4008476758254694,0.04175454801105428,0.5666265593521296,0.8740420834625089,-0.9061286777610159,-0.5732964784463171,-1.161337783758136,1.8031823065624835,-0.7423902365796051,-0.5748527529301395,-0.8324011408130289,0.2653208747302893,0.9884951294922582,-0.988341016405029,-1.0023584088287087,0.988860073879335,1.2340294703617045,0.9891065968232859,-0.9889524906465695,-1.0030685746279013,0.9894811326314722,1.2355979920550726,0.9694643489902681,-0.9250063560028515,-0.9934064587500377,0.9511911487714007,1.2570519823395594,0.9703518116024431,-0.9350802094648654,-0.9947212709605198,0.9565165679448057,1.2584302939633627,-0.14950194520660215,-2.5491794778449677,-0.4498903492464176,1.368092865120024,0.36176173030240016,-0.11949357386859481
Be,-1.470824821806349,-1.5779236672991248,-1.8038648591145903,-1.1419008578923784,-1.5922286130214824,-0.5778661444399978,0.4138348732366699,-1.1985960405058218,0.46684978092392615,-0.5805847497871376,-0.9208519114026057,-0.6123928815982332,-0.4668497809239263,0.5805847497871375,0.9208519114026058,0.6123928815982334,-1.119357226418788,-0.4643034237384871,-0.7963047618752422,-0.652193513526813,-1.8374069994951714,-0.046657946951867126,0.3002413440645795,-1.1332206626772279,-0.20162111252099205,-0.110182241598272,-0.5167432989890595,-0.8711107904365893,-1.3613534386257322,-1.2554392550175495,-1.2531373018965486,-0.9878062802003162,-1.3742062547364116,-1.378687391488866,-1.379575251899774,-1.103364221086602,-0.8800991093758447,-0.6331698919450847,-0.6959668234490131,0.266393687863742,0.4366937974090524,-0.9288473773340035,0.7203425249276203,-0.40631261030746,0.11413662530744738,-0.0498186745061472,1.6613530981152471,0.9874121537193596,-0.987263827227475,-1.001156119965201,0.9878069473294275,1.2265724032986312,0.9880246511932593,-0.9878768893625777,-1.001873097425608,0.9884294373423376,1.2282481000757859,0.9684511261397013,-0.9241392137627927,-0.9922451637521071,0.9502645980496613,1.249146966514716,0.969336345415838,-0.9341847611673463,-0.993555167079302,0.9555750782329493,1.2504947815164396,-0.1626716367497129,-2.300977581376672,-0.8894383916136072,-0.28849640051468683,0.36176173030240016,-0.1194935925400269
B,-1.4427009293513111,-1.5376221313254392,-1.8038648591145903,0.795807494429534,-0.5430857284724436,0.6201490330575585,0.5845919811255871,0.7701124318225809,0.46684978092392615,-0.032254708321507654,-0.9208519114026057,-0.6123928815982332,-0.4668497809239263,0.03225470832150753,0.9208519114026058,0.6123928815982334,-0.9818639254858443,0.011188034306951455,-0.2633448818800014,-0.11439327439430338,-1.9377183475432325,0.04982744413817149,0.007613736969767475,-0.4232733644595024,0.40253893037904215,0.4936285336899278,-0.37031179215469534,-1.3097625510237343,-1.58908291913385,-1.7263443935752476,-1.6794408198291153,-1.8555145324127524,-0.6479438030588953,-1.6476664874593143,-1.7759881702567761,-1.3668079255595267,-1.3410259380692944,-1.2132912530118698,-0.9142568318966043,1.1221480522058205,1.0768402753828625,-0.842215971137939,0.23367296014790664,2.4622287452477183,1.0421650546239132,1.1456600623675555,-0.4333006282125734,0.985905098290104,-0.9857632401641029,-0.9994677430816491,0.9863259640833144,1.2178500359837474,0.9865157378675004,-0.9863741432166225,-1.0001745735697585,0.986945986363738,1.2194013912158537,0.9670409530208058,-0.9229307565106722,-0.9906141468339197,0.9489612778764678,1.2399055106239807,0.9679230500892507,-0.9329368864548103,-0.9919174049427523,0.9542507588497069,1.2412177755456075,-0.02168372829394141,-2.0527756849083763,-0.4498903492464176,0.5567022044009812,0.36176173030240016,-0.11949358575974989
C,-1.4239393684691524,-1.4973205953517537,-1.8038648591145903,0.9719627991860715,-0.5430857284724436,1.8181642105551148,0.7553490890145043,1.2622895499046816,0.46684978092392615,0.5160753331441222,-0.9208519114026057,-0.6123928815982332,-0.4668497809239263,-0.5160753331441225,0.9208519114026058,0.6123928815982334,-0.8443706245529008,0.48667949235239,0.2696149981152395,0.42340696473820616,-1.6649770717451886,-0.19075950507335343,0.8535693927685012,0.4530400288944829,1.029593459115288,1.1745215356106635,-0.13064569301470355,-1.66068395949345,-1.7314138444514233,-1.7525057901617862,-1.9399596363434617,-1.881035363360177,-0.9169298962727904,-1.8013688280138562,-1.6768849406675255,-1.5424370618748096,-1.6867210595893816,-1.556090239096788,-1.0150060665647234,2.4981925232078144,1.5887527300032913,-0.85812786207191,0.04508850379576758,6.182845698725203,0.4123474839930224,1.8370212595957207,0.8016975225703035,0.9839131164401054,-0.9837786265577332,-0.9971108832436523,0.9843388912642372,1.2074307564746032,0.9845178853268952,-0.9843827455243047,-0.9977903347778379,0.984952032813779,1.2085756706523607,0.965176715489343,-0.9213316951759807,-0.9883370697797974,0.9472120319396989,1.2288713910465514,0.9660546851670749,-0.9312857212355498,-0.9896309257052918,0.9524733547854065,1.2301413354215134,-0.1626726941718267,-1.9286747366742283,-0.4498903492464176,0.4214704276144747,0.36176173030240016,-0.11614817032209167
N,-1.392736703873352,-1.457019059378068,-1.8038648591145903,1.1481181039426092,-0.5430857284724436,1.8181642105551148,0.9261061969034214,1.2622895499046816,0.46684978092392615,1.0644053746097522,-0.9208519114026057,-0.6123928815982332,-0.4668497809239263,-1.0644053746097524,0.9208519114026058,0.6123928815982334,-0.7068773236199571,0.9621709503978286,0.8025748781104803,-0.11439327439430338,-1.4023725216446328,-0.3661874888734239,1.7884813280734646,-0.6726971888352287,1.6935335483654304,1.9068026886197573,0.23053335825934937,-1.8536907341517936,-1.7883462145784528,0.6543426957997819,1.1388991042806313,-2.0086395180973002,-1.3204090360936325,-1.8974327908604451,-1.652109133270213,-1.6522052720718616,-1.801952766762744,-1.7736357494968322,-1.0737764534544596,-1.3232154490957817,-1.527327833612403,-1.2557041369359923,0.24583969926739951,-0.9216044794701009,-1.2480717626030418,0.6655481198479961,-0.7598973421261062,0.9813854774325229,-0.9812590706619696,-0.9939664071496451,0.9817838245227095,1.195225413331093,0.9819792541753792,-0.9818507227114557,-0.994602535287873,0.9823853351416383,1.195633225280867,0.9628106970565958,-0.9193003872402296,-0.9852986251352668,0.9449619516095062,1.2159519809517887,0.9636834283706651,-0.9291883105690494,-0.9865799572082151,0.9501870949160371,1.217172557404037,-0.16231901430166126,-1.8045737884400803,-0.4498903492464176,0.3031426229262815,0.36176173030240016,-0.11845684304925407
O,-1.3615821939504829,-1.4167175234043825,-1.8038648591145903,1.3242734086991466,-0.5430857284724436,1.8181642105551148,1.0968633047923386,1.2622895499046816,0.46684978092392615,1.6127354160753824,-0.9208519114026057,-0.6123928815982332,-0.4668497809239263,-1.6127354160753824,0.9208519114026058,0.6123928815982334,-0.5693840226870135,1.4376624084432672,1.3355347581057213,-1.727793991791832,-1.4731184197416867,-0.32233049292340615,1.526895607278258,0.6276636106704514,2.385455786970943,2.5491545772242254,0.7317042898721825,-1.9940592975396803,-1.8452785847054822,0.497374316280549,0.9967979316364424,-2.212806165676697,-1.401104864057801,-1.9646775648530574,0.6024893398852383,-1.7619734822689135,-1.9171844739361064,-1.9296532367534298,-1.0995514659903867,-1.332296487918388,-1.519386878126562,-1.2556723131541243,0.17283926455044246,-0.9309610163744574,-1.2451691455542269,-0.4099026313958167,-0.7598881401791003,0.9782717666516175,-0.9781540291497998,-0.989914045202097,0.9785989350710744,1.1811482617339437,0.9788734186418766,-0.9787550960652022,-0.9905978054574075,0.9792107682923202,1.182211837607016,0.9598954068767259,-0.9167953052858804,-0.9813823337497769,0.9421560692856648,1.2010584529252712,0.9607616839921408,-0.9266018366062417,-0.9826475533313055,0.9473361569517345,1.202222351928824,-0.16267329152256468,-1.6804728402059326,-0.010342306879227953,1.0339908283533592,0.36176173030240016,-0.11161032005492885
F,-1.3146938794752514,-1.376415987430697,-1.8038648591145903,1.500428713455684,-0.5430857284724436,1.8181642105551148,1.3017718342590394,1.7544666679867822,0.46684978092392615,2.1610654575410124,-0.9208519114026057,-0.6123928815982332,-0.4668497809239263,-2.1610654575410124,0.9208519114026058,0.6123928815982334,-0.4318907217540699,1.9131538664887058,1.8684946381009622,-1.727793991791832,-1.1964702809144023,-0.6017622099763754,2.613418742550661,2.351602086379972,3.1269827448882475,3.332823881321677,1.400865477891552,-2.099335720080595,-1.9022109548325117,0.3142445401747774,0.8310132302182223,-2.1617645037818476,-1.5355979106647486,-2.0223159425610104,0.552937725090613,-1.9595562606236072,-2.147647888282831,-2.048314424244363,-1.1129007395839123,-1.3337921884303467,-1.5225508525779516,-1.2556245774813224,0.1120055689529782,-0.9287469777092584,-1.2458281257009438,-1.2260929336790674,-0.7598740951020914,0.9745217768790209,-0.9744131944836619,-0.9848331195373017,0.9747224679545485,1.1651195314197083,0.975128435169332,-0.9750201525572509,-0.9855388884027565,0.9753393528370543,1.166611434166303,0.9563834711988735,-0.9137749138052321,-0.9764712330041455,0.9387393466260272,1.1841085505236195,0.9572419739633893,-0.9234834941565495,-0.9777162873242027,0.9438646569060001,1.1852082259287342,-0.16267156254465232,-1.5563718919717846,-0.8894383916136072,-0.6829224161419991,0.36176173030240016,-0.11949331355497986
Ne,-1.2962247331540748,-1.3361144514570114,-1.8038648591145903,1.6765840182122216,-0.5430857284724436,1.8181642105551148,1.50668036372574,2.246643786068883,0.46684978092392615,2.709395499006642,-0.9208519114026057,-0.6123928815982332,-0.4668497809239263,-2.709395499006642,0.9208519114026058,0.6123928815982334,-0.2943974208211263,2.3886453245341444,2.401454518096203,-1.727793991791832,-0.9272135045748702,-0.5954969248406585,3.796180292569773,-1.7780553834289483,3.885044609242817,4.180728374279574,2.120423742832882,-2.1695200017745377,-1.9591433249595411,0.18343755724208335,0.09682383822324613,-0.5029104921992492,-1.3473076454150221,-0.8119100106939925,-0.01690584504757796,-1.9376026185841968,-2.424203985498901,-2.1406064589595335,-1.1328826711264226,-1.3646677204272082,-1.559712042703097,-1.2557660165118467,0.16310587325484818,-0.9235530507577799,-1.253058563113743,-1.6053813682695193,-0.7596149876469271,0.9700854476886298,-0.9699864248488126,-0.9786028841830577,0.9700927459573837,1.1470652105246197,0.9706930740864036,-0.9705946333414954,-0.9793140462286016,0.9707103530493607,1.148703436592874,0.9522275732527038,-0.9101975976147398,-0.9704481982558826,0.9346566671681863,1.1650264506144905,0.9530768774657475,-0.919790420939605,-0.9716685734703667,0.9397166432007558,1.1660541446390706,-0.16266592296004542,-1.4322709437376366,-0.010342306879227953,0.7702260624849394,0.36176173030240016,-0.11835416176583669
